station_name,month,day_of_week,holiday,time_type,malfunction_cause,malfunction_cause_group,rain_bins,wind_bins,temp_bins,duration_30min_intervals
Almere Oostvaarders,January,Tuesday,holiday,peak,vandalism,external,medium,medium,chilly,f
Lelystad Centrum,January,Tuesday,holiday,peak,vandalism,external,medium,medium,chilly,f
Ermelo,January,Tuesday,holiday,peak,signal failure,infrastructure,medium,medium,chilly,a
Harderwijk,January,Tuesday,holiday,peak,signal failure,infrastructure,medium,medium,chilly,a
Putten,January,Tuesday,holiday,peak,signal failure,infrastructure,medium,medium,chilly,a
Culemborg,January,Tuesday,holiday,peak,an emergency call,external,medium,medium,chilly,b
Geldermalsen,January,Tuesday,holiday,peak,an emergency call,external,medium,medium,chilly,b
Houten Castellum,January,Tuesday,holiday,peak,an emergency call,external,medium,medium,chilly,b
Amersfoort Centraal,January,Tuesday,holiday,off-peak,repair works,engineering work,medium,medium,chilly,g
Amersfoort Schothorst,January,Tuesday,holiday,off-peak,repair works,engineering work,medium,medium,chilly,g
Amersfoort Vathorst,January,Tuesday,holiday,off-peak,repair works,engineering work,medium,medium,chilly,g
Ermelo,January,Tuesday,holiday,off-peak,repair works,engineering work,medium,medium,chilly,g
Harderwijk,January,Tuesday,holiday,off-peak,repair works,engineering work,medium,medium,chilly,g
't Harde,January,Tuesday,holiday,off-peak,repair works,engineering work,medium,medium,chilly,g
Nijkerk,January,Tuesday,holiday,off-peak,repair works,engineering work,medium,medium,chilly,g
Nunspeet,January,Tuesday,holiday,off-peak,repair works,engineering work,medium,medium,chilly,g
Putten,January,Tuesday,holiday,off-peak,repair works,engineering work,medium,medium,chilly,g
Wezep,January,Tuesday,holiday,off-peak,repair works,engineering work,medium,medium,chilly,g
Zwolle,January,Tuesday,holiday,off-peak,repair works,engineering work,medium,medium,chilly,g
Gouda,January,Tuesday,holiday,off-peak,broken down train,rolling stock,medium,medium,chilly,b
Gouda Goverwelle,January,Tuesday,holiday,off-peak,broken down train,rolling stock,medium,medium,chilly,b
Woerden,January,Tuesday,holiday,off-peak,broken down train,rolling stock,medium,medium,chilly,b
Groningen Noord,January,Tuesday,holiday,peak,broken down train,rolling stock,medium,medium,chilly,d
Sauwerd,January,Tuesday,holiday,peak,broken down train,rolling stock,medium,medium,chilly,d
Schiphol Airport,January,Tuesday,holiday,off-peak,broken down train,rolling stock,medium,medium,chilly,a
Zwolle,January,Wednesday,nonholiday,off-peak,broken down train,rolling stock,medium,medium,freezing,e
Beesd,January,Wednesday,nonholiday,off-peak,signal and level crossing failure,infrastructure,medium,medium,freezing,g
Geldermalsen,January,Wednesday,nonholiday,off-peak,signal and level crossing failure,infrastructure,medium,medium,freezing,g
Leerdam,January,Wednesday,nonholiday,off-peak,signal and level crossing failure,infrastructure,medium,medium,freezing,g
Kapelle-Biezelinge,January,Wednesday,nonholiday,peak,person on the railway track,external,medium,medium,freezing,a
Goes,January,Wednesday,nonholiday,peak,person on the railway track,external,medium,medium,freezing,a
Kruiningen-Yerseke,January,Wednesday,nonholiday,peak,person on the railway track,external,medium,medium,freezing,a
Hoofddorp,January,Wednesday,nonholiday,peak,damaged overhead wires,infrastructure,medium,medium,freezing,c
Leiden Centraal,January,Wednesday,nonholiday,peak,damaged overhead wires,infrastructure,medium,medium,freezing,c
Nieuw Vennep,January,Wednesday,nonholiday,peak,damaged overhead wires,infrastructure,medium,medium,freezing,c
Sassenheim,January,Wednesday,nonholiday,peak,damaged overhead wires,infrastructure,medium,medium,freezing,c
Coevorden,January,Wednesday,nonholiday,off-peak,points failure,infrastructure,medium,medium,freezing,b
Dalen,January,Wednesday,nonholiday,off-peak,points failure,infrastructure,medium,medium,freezing,b
Emmen,January,Wednesday,nonholiday,off-peak,points failure,infrastructure,medium,medium,freezing,b
Emmen Zuid,January,Wednesday,nonholiday,off-peak,points failure,infrastructure,medium,medium,freezing,b
Utrecht Centraal,January,Wednesday,nonholiday,off-peak,broken down train,rolling stock,medium,medium,freezing,b
Utrecht Terwijde,January,Wednesday,nonholiday,off-peak,broken down train,rolling stock,medium,medium,freezing,b
Vleuten,January,Wednesday,nonholiday,off-peak,broken down train,rolling stock,medium,medium,freezing,b
Woerden,January,Wednesday,nonholiday,off-peak,broken down train,rolling stock,medium,medium,freezing,b
Utrecht Leidsche Rijn,January,Wednesday,nonholiday,off-peak,broken down train,rolling stock,medium,medium,freezing,b
Almelo,January,Wednesday,nonholiday,off-peak,points failure,infrastructure,medium,medium,freezing,d
Wierden,January,Wednesday,nonholiday,off-peak,points failure,infrastructure,medium,medium,freezing,d
Kaldenkirchen,January,Thursday,nonholiday,off-peak,problems with the rolling stock,rolling stock,low,low,freezing,i
Mönchengladbach Hbf,January,Thursday,nonholiday,off-peak,problems with the rolling stock,rolling stock,low,low,freezing,i
Viersen,January,Thursday,nonholiday,off-peak,problems with the rolling stock,rolling stock,low,low,freezing,i
