station_name,latitude,longitude,month,day_of_week,holiday,time_type,malfunction_cause,malfunction_cause_group,rain_bins,wind_bins,temp_bins,duration_minutes
Almere Oostvaarders,52.403331756591996,5.3005557060242,January,Tuesday,holiday,peak,vandalism,external,medium,medium,chilly,162
Lelystad Centrum,52.507778167725,5.4727778434753,January,Tuesday,holiday,peak,vandalism,external,medium,medium,chilly,162
Ermelo,52.301666259765994,5.6147222518921,January,Tuesday,holiday,peak,signal failure,infrastructure,medium,medium,chilly,17
Harderwijk,52.337501525879,5.619722366333,January,Tuesday,holiday,peak,signal failure,infrastructure,medium,medium,chilly,17
Putten,52.264999389648,5.5752778053284,January,Tuesday,holiday,peak,signal failure,infrastructure,medium,medium,chilly,17
Culemborg,51.946666717529,5.2269444465637,January,Tuesday,holiday,peak,an emergency call,external,medium,medium,chilly,34
Geldermalsen,51.88301,5.27127,January,Tuesday,holiday,peak,an emergency call,external,medium,medium,chilly,34
Houten Castellum,52.01701,5.17949,January,Tuesday,holiday,peak,an emergency call,external,medium,medium,chilly,34
Amersfoort Centraal,52.153888702393,5.3705554008484,January,Tuesday,holiday,off-peak,repair works,engineering work,medium,medium,chilly,182
Amersfoort Schothorst,52.174822137451,5.4038887023925986,January,Tuesday,holiday,off-peak,repair works,engineering work,medium,medium,chilly,182
Amersfoort Vathorst,52.192779541015994,5.4338889122009,January,Tuesday,holiday,off-peak,repair works,engineering work,medium,medium,chilly,182
Ermelo,52.301666259765994,5.6147222518921,January,Tuesday,holiday,off-peak,repair works,engineering work,medium,medium,chilly,182
Harderwijk,52.337501525879,5.619722366333,January,Tuesday,holiday,off-peak,repair works,engineering work,medium,medium,chilly,182
't Harde,52.4091682,5.893611,January,Tuesday,holiday,off-peak,repair works,engineering work,medium,medium,chilly,182
Nijkerk,52.222221374511996,5.4938888549805,January,Tuesday,holiday,off-peak,repair works,engineering work,medium,medium,chilly,182
Nunspeet,52.370834350586,5.7852778434753,January,Tuesday,holiday,off-peak,repair works,engineering work,medium,medium,chilly,182
Putten,52.264999389648,5.5752778053284,January,Tuesday,holiday,off-peak,repair works,engineering work,medium,medium,chilly,182
Wezep,52.454166412354,6.0025000572205,January,Tuesday,holiday,off-peak,repair works,engineering work,medium,medium,chilly,182
Zwolle,52.50472259521499,6.0919442176819,January,Tuesday,holiday,off-peak,repair works,engineering work,medium,medium,chilly,182
Gouda,52.017501831055,4.7044444084167,January,Tuesday,holiday,off-peak,broken down train,rolling stock,medium,medium,chilly,33
Gouda Goverwelle,52.014999389648,4.7408332824707005,January,Tuesday,holiday,off-peak,broken down train,rolling stock,medium,medium,chilly,33
Woerden,52.084999084473,4.8936109542847,January,Tuesday,holiday,off-peak,broken down train,rolling stock,medium,medium,chilly,33
Groningen Noord,53.2301469,6.5563172000000005,January,Tuesday,holiday,peak,broken down train,rolling stock,medium,medium,chilly,112
Sauwerd,53.29113,6.5404,January,Tuesday,holiday,peak,broken down train,rolling stock,medium,medium,chilly,112
Schiphol Airport,52.30944442749001,4.7619442939758,January,Tuesday,holiday,off-peak,broken down train,rolling stock,medium,medium,chilly,11
Zwolle,52.50472259521499,6.0919442176819,January,Wednesday,nonholiday,off-peak,broken down train,rolling stock,medium,medium,freezing,138
Beesd,51.899444580078004,5.1944446563721,January,Wednesday,nonholiday,off-peak,signal and level crossing failure,infrastructure,medium,medium,freezing,194
Geldermalsen,51.88301,5.27127,January,Wednesday,nonholiday,off-peak,signal and level crossing failure,infrastructure,medium,medium,freezing,194
Leerdam,51.894721984863004,5.0913887023925986,January,Wednesday,nonholiday,off-peak,signal and level crossing failure,infrastructure,medium,medium,freezing,194
Kapelle-Biezelinge,51.480834960938,3.9561111927033,January,Wednesday,nonholiday,peak,person on the railway track,external,medium,medium,freezing,14
Goes,51.498054504395,3.8905556201935,January,Wednesday,nonholiday,peak,person on the railway track,external,medium,medium,freezing,14
Kruiningen-Yerseke,51.465000152588,4.0372223854065,January,Wednesday,nonholiday,peak,person on the railway track,external,medium,medium,freezing,14
Hoofddorp,52.293334960938,4.700555324554402,January,Wednesday,nonholiday,peak,damaged overhead wires,infrastructure,medium,medium,freezing,64
Leiden Centraal,52.166110992432,4.4816665649414,January,Wednesday,nonholiday,peak,damaged overhead wires,infrastructure,medium,medium,freezing,64
Nieuw Vennep,52.258888244629,4.6455554962158,January,Wednesday,nonholiday,peak,damaged overhead wires,infrastructure,medium,medium,freezing,64
Sassenheim,52.21527800000001,4.517222,January,Wednesday,nonholiday,peak,damaged overhead wires,infrastructure,medium,medium,freezing,64
Coevorden,52.663612365723,6.7355556488037,January,Wednesday,nonholiday,off-peak,points failure,infrastructure,medium,medium,freezing,59
Dalen,52.69416809082,6.7580556869507005,January,Wednesday,nonholiday,off-peak,points failure,infrastructure,medium,medium,freezing,59
Emmen,52.790000915527,6.8994445800781,January,Wednesday,nonholiday,off-peak,points failure,infrastructure,medium,medium,freezing,59
Emmen Zuid,52.748866374691,6.8747806549072,January,Wednesday,nonholiday,off-peak,points failure,infrastructure,medium,medium,freezing,59
Utrecht Centraal,52.088890075684006,5.1102776527405,January,Wednesday,nonholiday,off-peak,broken down train,rolling stock,medium,medium,freezing,34
Utrecht Terwijde,52.1000753,5.0439547,January,Wednesday,nonholiday,off-peak,broken down train,rolling stock,medium,medium,freezing,34
Vleuten,52.103056,5.007404,January,Wednesday,nonholiday,off-peak,broken down train,rolling stock,medium,medium,freezing,34
Woerden,52.084999084473,4.8936109542847,January,Wednesday,nonholiday,off-peak,broken down train,rolling stock,medium,medium,freezing,34
Utrecht Leidsche Rijn,52.09896,5.0652300000000015,January,Wednesday,nonholiday,off-peak,broken down train,rolling stock,medium,medium,freezing,34
Almelo,52.358055114746,6.6538887023925986,January,Wednesday,nonholiday,off-peak,points failure,infrastructure,medium,medium,freezing,109
Wierden,52.361389160156,6.5916666984558,January,Wednesday,nonholiday,off-peak,points failure,infrastructure,medium,medium,freezing,109
Kaldenkirchen,51.327184,6.203225,January,Thursday,nonholiday,off-peak,problems with the rolling stock,rolling stock,low,low,freezing,264
Mönchengladbach Hbf,51.196583,6.446111,January,Thursday,nonholiday,off-peak,problems with the rolling stock,rolling stock,low,low,freezing,264
Viersen,51.25516,6.40388,January,Thursday,nonholiday,off-peak,problems with the rolling stock,rolling stock,low,low,freezing,264
Venlo,51.36360931396499,6.1727776527405,January,Thursday,nonholiday,off-peak,problems with the rolling stock,rolling stock,low,low,freezing,264
Boisheim,51.274323,6.274591,January,Thursday,nonholiday,off-peak,problems with the rolling stock,rolling stock,low,low,freezing,264
Breyell,51.294615,6.241174,January,Thursday,nonholiday,off-peak,problems with the rolling stock,rolling stock,low,low,freezing,264
Dülken,51.257149,6.33793,January,Thursday,nonholiday,off-peak,problems with the rolling stock,rolling stock,low,low,freezing,264
Breda,51.595554351807,4.7800002098083,January,Thursday,nonholiday,off-peak,broken down train,rolling stock,low,low,freezing,18
Rotterdam Centraal,51.92499923705999,4.468888759613,January,Thursday,nonholiday,off-peak,broken down train,rolling stock,low,low,freezing,18
Utrecht Centraal,52.088890075684006,5.1102776527405,January,Thursday,nonholiday,off-peak,points failure,infrastructure,low,low,freezing,181
Utrecht Overvecht,52.110000610352,5.1247220039368,January,Thursday,nonholiday,off-peak,points failure,infrastructure,low,low,freezing,181
Utrecht Centraal,52.088890075684006,5.1102776527405,January,Thursday,nonholiday,off-peak,points failure,infrastructure,low,low,freezing,164
Utrecht Overvecht,52.110000610352,5.1247220039368,January,Thursday,nonholiday,off-peak,points failure,infrastructure,low,low,freezing,164
Den Haag Mariahoeve,52.090557098389,4.3694443702698,January,Thursday,nonholiday,off-peak,broken down train,rolling stock,low,low,freezing,17
Den Haag Laan v NOI,52.07860946655301,4.3427777290344,January,Thursday,nonholiday,off-peak,broken down train,rolling stock,low,low,freezing,17
Den Haag Mariahoeve,52.090557098389,4.3694443702698,January,Thursday,nonholiday,off-peak,broken down train,rolling stock,low,low,freezing,32
Den Haag Laan v NOI,52.07860946655301,4.3427777290344,January,Thursday,nonholiday,off-peak,broken down train,rolling stock,low,low,freezing,32
Driebergen-Zeist,52.065277099609006,5.25861120224,January,Thursday,nonholiday,off-peak,collision with a vehicle,accidents,low,low,freezing,118
Ede-Wageningen,52.027778625488004,5.6730556488037,January,Thursday,nonholiday,off-peak,collision with a vehicle,accidents,low,low,freezing,118
Veenendaal-De Klomp,52.045833587646,5.5738887786865,January,Thursday,nonholiday,off-peak,collision with a vehicle,accidents,low,low,freezing,118
Maarn,52.064167022705,5.3699998855591,January,Thursday,nonholiday,off-peak,collision with a vehicle,accidents,low,low,freezing,118
Amersfoort Centraal,52.153888702393,5.3705554008484,January,Thursday,nonholiday,off-peak,disruption elsewhere,logistical,low,low,freezing,100
Barneveld Centrum,52.139999389648,5.590277671814,January,Thursday,nonholiday,off-peak,disruption elsewhere,logistical,low,low,freezing,100
Barneveld Noord,52.161388397216996,5.598055362701402,January,Thursday,nonholiday,off-peak,disruption elsewhere,logistical,low,low,freezing,100
Ede-Wageningen,52.027778625488004,5.6730556488037,January,Thursday,nonholiday,off-peak,disruption elsewhere,logistical,low,low,freezing,100
Ede Centrum,52.043609619140994,5.6683335304260005,January,Thursday,nonholiday,off-peak,disruption elsewhere,logistical,low,low,freezing,100
Lunteren,52.085277557373,5.6244444847107005,January,Thursday,nonholiday,off-peak,disruption elsewhere,logistical,low,low,freezing,100
Hoevelaken,52.16652,5.45718,January,Thursday,nonholiday,off-peak,disruption elsewhere,logistical,low,low,freezing,100
Barneveld Zuid,52.128853,5.60246,January,Thursday,nonholiday,off-peak,disruption elsewhere,logistical,low,low,freezing,100
Arnhem Centraal,51.985000610352,5.899166584014901,January,Thursday,nonholiday,peak,disruption elsewhere,logistical,low,low,freezing,92
Bunnik,52.063056945801,5.1944446563721,January,Thursday,nonholiday,peak,disruption elsewhere,logistical,low,low,freezing,92
Driebergen-Zeist,52.065277099609006,5.25861120224,January,Thursday,nonholiday,peak,disruption elsewhere,logistical,low,low,freezing,92
Ede-Wageningen,52.027778625488004,5.6730556488037,January,Thursday,nonholiday,peak,disruption elsewhere,logistical,low,low,freezing,92
Veenendaal-De Klomp,52.045833587646,5.5738887786865,January,Thursday,nonholiday,peak,disruption elsewhere,logistical,low,low,freezing,92
Maarn,52.064167022705,5.3699998855591,January,Thursday,nonholiday,peak,disruption elsewhere,logistical,low,low,freezing,92
Oosterbeek,51.99499893188501,5.8400001525879,January,Thursday,nonholiday,peak,disruption elsewhere,logistical,low,low,freezing,92
Utrecht Centraal,52.088890075684006,5.1102776527405,January,Thursday,nonholiday,peak,disruption elsewhere,logistical,low,low,freezing,92
Wolfheze,52.005554199219,5.7936110496521,January,Thursday,nonholiday,peak,disruption elsewhere,logistical,low,low,freezing,92
Utrecht Vaartsche Rijn,52.078889,5.121667,January,Thursday,nonholiday,peak,disruption elsewhere,logistical,low,low,freezing,92
Schiphol Airport,52.30944442749001,4.7619442939758,January,Thursday,nonholiday,peak,fire alarm,external,low,low,freezing,31
Apeldoorn,52.209167480469,5.9702777862549015,January,Thursday,nonholiday,peak,broken down train,rolling stock,low,low,freezing,36
Apeldoorn Osseveld,52.215278625488004,6.0044445991516,January,Thursday,nonholiday,peak,broken down train,rolling stock,low,low,freezing,36
Deventer,52.257499694824,6.160555362701402,January,Thursday,nonholiday,peak,broken down train,rolling stock,low,low,freezing,36
Twello,52.237777709961,6.0986108779907,January,Thursday,nonholiday,peak,broken down train,rolling stock,low,low,freezing,36
's-Hertogenbosch,51.69048,5.29362,January,Thursday,nonholiday,peak,points failure,infrastructure,low,low,freezing,53
Tilburg,51.560554504395,5.0836110115050985,January,Thursday,nonholiday,peak,points failure,infrastructure,low,low,freezing,53
Best,51.50999832153301,5.3891668319702015,January,Thursday,nonholiday,peak,points failure,infrastructure,low,low,freezing,79
Boxtel,51.58433,5.31912,January,Thursday,nonholiday,peak,points failure,infrastructure,low,low,freezing,79
Eindhoven Centraal,51.443332672119,5.4813890457153,January,Thursday,nonholiday,peak,points failure,infrastructure,low,low,freezing,79
